longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
-119.60412007127101,36.265151169166764,11,9670,2526.0,5075,1489,4.003314671701228,NEAR BAY,323014.02953691763
-122.35497881071468,39.56813923721952,29,5272,1222.0,2588,945,2.185855209483561,NEAR BAY,172723.66590563953
-121.98745554738096,39.68288278537348,2,9713,2288.0,5458,1507,4.8924981302082475,<1H OCEAN,363540.2830716667
-123.22908710896287,34.42336580588049,18,1566,259.0,726,411,5.329482397910979,INLAND,268228.3462172851
-124.19420508155876,41.25631136766432,29,1248,329.0,641,164,1.4506825431690418,NEAR BAY,217776.17916273966
-119.79415425779509,33.62209463822629,15,990,294.0,452,216,1.9425843425630829,INLAND,141754.79157939655
-116.35372567075814,40.83393536653976,31,13421,2336.0,7560,1784,3.6970240360156215,INLAND,228830.08543751543
-116.71864228344168,33.43367950454323,24,1574,334.0,498,255,3.0273596392721385,NEAR OCEAN,215014.08989951655
-123.87207930441093,34.96022024370719,42,8291,1312.0,3183,1698,3.464053652312354,<1H OCEAN,231882.3778881794
-118.38617438334087,40.372250385432,10,4896,759.0,5169,1341,2.37769191278,<1H OCEAN,186839.6777926887
-122.62631212078254,34.169276272818614,3,2766,880.0,1414,365,5.184788700035749,<1H OCEAN,351428.19696806883
-114.6010218954001,36.34618176118272,28,6885,1610.0,5722,1571,4.953063979983019,NEAR BAY,341218.055009878
-122.49287700362937,36.683691489480374,14,1361,286.0,1551,362,3.5956105645550887,INLAND,232742.32446124975
-117.80827997948569,34.78090844911585,37,2621,516.0,822,360,5.796524669998788,NEAR OCEAN,288930.2680960685
-120.87236870592662,39.10528037242467,5,5702,1805.0,4232,1086,4.307592675108315,<1H OCEAN,275000.72071941086
-117.6560744751636,40.417412239440495,30,3290,635.0,1523,604,2.3710156121836996,<1H OCEAN,188825.3433180562
-119.99496231606643,40.63354880065682,52,2879,787.0,1860,608,4.120348935415211,NEAR BAY,285697.79813555215
-116.45164086647478,35.65569595535002,5,3485,691.0,1248,447,2.2671030558585774,NEAR OCEAN,233374.9442615708
-121.84707292165585,37.436908666876676,16,5685,921.0,1729,1140,5.182578102213421,<1H OCEAN,298152.48265480227
-114.96092310027454,34.810179555950555,44,751,200.0,522,165,3.412800925965244,<1H OCEAN,215159.74230633676
-119.09786157700381,34.77660746441635,28,2680,403.0,1948,531,3.2117370774697416,<1H OCEAN,243161.17283527396
-116.4878498933289,33.9996627845229,10,4737,1255.0,2105,1049,2.569166956746584,NEAR BAY,190295.1651041133
-115.53275204770749,41.24217680050988,12,4768,918.0,3937,937,6.050516270707879,INLAND,329176.7449074128
-114.01194816826099,40.75829610603189,40,5070,1404.0,3934,1295,3.2558772020436755,NEAR BAY,244367.49148798265
-121.91575421094163,39.729436033947536,45,2073,582.0,974,483,2.878451511767535,INLAND,139961.64662950317
-121.27369738165277,37.31425214797588,19,6747,1843.0,4075,1208,2.9788576922470735,<1H OCEAN,219802.54023272463
-121.64558251533474,37.062653614260405,25,11025,1700.0,2871,1396,4.435051081459824,NEAR BAY,339553.52524791175
-121.51871241197021,37.42663469549723,41,2919,787.0,1299,771,4.1142223172405545,NEAR BAY,311347.64544823946
-118.25906363629835,37.49008252626693,10,2514,800.0,1922,551,4.202710503947964,INLAND,236206.24145496203
-114.06607026391241,36.54143668768852,11,8460,1618.0,1916,1052,4.237059232441588,,310248.5299290485
-114.0991635116539,33.725319945896224,41,8681,1707.0,1974,1092,9.149886001814286,NEAR BAY,500000.0
-118.82691304010446,33.66867383167738,10,1917,553.0,1014,278,2.9069756424949307,INLAND,182883.43776344426
-117.68192245530032,41.355922357364854,41,5027,891.0,1775,1069,2.7717829348151337,<1H OCEAN,173124.03056650684
-115.42830045424363,36.98288606415306,26,2122,557.0,1459,379,2.420084053189725,INLAND,139433.14751815487
-114.68407872377425,41.36481138161825,52,4898,1363.0,4094,1075,4.605221369750721,NEAR BAY,320189.9245534974
-122.12062160123865,34.021264962704024,2,6981,1091.0,3218,1685,5.801041855760989,INLAND,310674.38122656965
-118.80887436478699,37.65607393397138,50,5519,1347.0,3069,1022,3.3158819749904236,NEAR OCEAN,202004.85189579427
-115.70506204245258,34.43177045616932,12,8924,2212.0,2491,1399,2.391521048230936,NEAR OCEAN,173192.03880898945
-121.10733881832716,34.85461683697739,2,3392,684.0,2134,640,2.4084501586573746,<1H OCEAN,218287.03006182646
-119.71394776669923,32.77950758247896,38,10945,3272.0,2810,1670,4.677513917243753,INLAND,228479.68081216048
-114.14666476457752,33.60626578988396,28,7397,1314.0,6295,1485,4.8766786178191985,,293519.4203284939
